id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,weeks_since_release,min_shows,genre_peak_slot,genre_sigma
565770,Blue Beetle,7.139,1023,Released,2023-08-16,124818235,128,False,/1syW9SNna38rSl9fnXwc9fP7POW.jpg,120000000,https://www.dc.com/bluebeetle,tt9362930,en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",1.0,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,Jaime Reyes is a superhero whether he likes it or not.,"Action, Science Fiction, Adventure","Warner Bros. Pictures, The Safran Company, DC Films",United States of America,"English, Portuguese, Spanish","armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino",6,3,40,8
980489,Gran Turismo,8.068,702,Released,2023-08-09,114800000,135,False,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,60000000,https://www.granturismo.movie,tt4495098,en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,0.8952148992254431,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,From gamer to racer.,"Action, Drama, Adventure","PlayStation Productions, 2.0 Entertainment, Columbia Pictures",United States of America,"English, German, Japanese","based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful",7,3,40,8
968051,The Nun II,6.545,365,Released,2023-09-06,231200000,110,False,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,38500000,https://www.warnerbros.com/movies/nun2,tt10160976,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",0.5653227053420818,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg,Confess your sins.,"Horror, Mystery, Thriller","New Line Cinema, Atomic Monster, The Safran Company",United States of America,"English, French","france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, 1950s, demonic, girls' school, convent, the conjuring universe",3,1,48,5
615656,Meg 2: The Trench,6.912,2034,Released,2023-08-02,384056482,116,False,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,129000000,https://www.themeg.movie,tt9224104,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,0.523408865409168,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Back for seconds.,"Action, Science Fiction, Horror","Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, DF Pictures, Onaroll Productions","China, United States of America",English,"based on novel or book, sequel, shark, kaiju, civil action, oceans, shark cage",8,3,48,5
762430,Retribution,6.816,258,Released,2023-08-23,12905464,91,False,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,20000000,https://iiil.io/jCT7,tt6906292,en,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",0.5167119351500172,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,All roads lead to the truth.,"Action, Mystery, Thriller, Crime","StudioCanal, The Picture Company, Ombra Films","France, United States of America","English, German","assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin",5,1,48,5
1008042,Talk to Me,7.214,973,Released,2023-07-26,72600000,95,False,/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,4500000,https://umbrellaent.com.au/movie/talk-to-me,tt10638522,en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",0.4870875450054886,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,You call. They'll answer.,"Horror, Thriller","Causeway Films, Metrol Technology, Screen Australia, South Australian Film Corporation, Bankside Films, Head Gear Films, Adelaide Film Festival Investment Fund","Australia, United Kingdom",English,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia",9,3,48,5
385687,Fast X,7.265,3881,Released,2023-05-17,704709660,142,False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,340000000,https://fastxmovie.com,tt5433140,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",0.39249394778244545,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,The end of the road begins.,"Action, Crime, Thriller","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",United States of America,English,"sequel, revenge, betrayal, racing, family, cliffhanger, cars",19,3,48,5
678512,Sound of Freedom,7.973,503,Released,2023-07-03,212587173,131,False,/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,15000000,https://www.soundoffreedommovie.com/,tt7599146,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",0.37104326571614543,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,Fight for the light. Silence the darkness.,"Action, Drama",Santa Fe Films,United States of America,"English, Spanish","kidnapping, human trafficking, based on true story, child kidnapping, lost children, children in danger, colombia",12,3,40,8
346698,Barbie,7.279,5074,Released,2023-07-19,1428545028,114,False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,145000000,https://www.barbie-themovie.com,tt1517268,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",0.3571184063890845,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,She's everything. He's just Ken.,"Comedy, Adventure, Fantasy","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel","United Kingdom, United States of America",English,"feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world",10,3,32,6
976573,Elemental,7.757,2467,Released,2023-06-14,486797988,102,False,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,200000000,https://movies.disney.com/elemental,tt15789038,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",0.3369477988095608,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,Opposites react.,"Animation, Comedy, Family, Fantasy, Romance","Walt Disney Pictures, Pixar",United States of America,English,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",15,2,12,4
1002338,Operation Napoleon,7.04,25,Released,2023-01-26,0,112,False,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,0,,tt15485390,is,Napóleonsskjölin,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.",0.3281542581595982,/j2Or0w69bpPXrmkE0hpTzw6hzsr.jpg,A dark secret hides beneath the ice.,Thriller,"Sagafilm, Splendid Film","Germany, Iceland","English, Icelandic",based on novel or book,35,1,48,5
820609,No One Will Save You,6.897,345,Released,2023-09-22,0,93,False,/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,22800000,https://www.20thcenturystudios.com/movies/no-one-will-save-you,tt14509110,en,No One Will Save You,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,0.3210078157013342,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg,A home invasion no one saw coming.,"Horror, Science Fiction, Thriller","20th Century Studios, Star Thrower Entertainment",United States of America,English,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens",1,2,48,5
951491,Saw X,7.321,56,Released,2023-09-26,29300000,118,False,/9b3uxqcjkmay20EBZZj1KVow0r5.jpg,13000000,https://www.saw.movie,tt21807222,en,Saw X,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",0.3172524184658008,/aQPeznSu7XDTrrdCtT5eLiu52Yu.jpg,Witness the return of Jigsaw.,"Crime, Horror, Thriller","Twisted Pictures, Lionsgate",United States of America,"English, Spanish","mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel",0,3,48,5
1172009,The Black Book,7.667,21,Released,2023-09-22,0,124,False,/9WxqnP9c29wXd03sALSpxpTx8fk.jpg,1000000,https://www.netflix.com/title/81698992,tt24083908,en,The Black Book,"After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",0.2706050080200858,/kn28W24slBLyGr8ZIZnxNE5YZrY.jpg,,"Mystery, Thriller, Action",Anakle Films,Nigeria,English,"revenge thriller, nollywood",1,2,48,5
852436,Let Her Kill You,6.917,54,Released,2023-03-08,0,94,False,/5xUJBgds96m6Xi2EtUpSzbw24D7.jpg,3200000,,tt18160646,fr,Seule : Les dossiers Silvercloud,"Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.",0.26069303025657925,/qx81rP4b4UFcxjabCqfe79F24Z0.jpg,,"Thriller, Mystery","Sombrero Films, Vega Film","France, Switzerland",French,,29,1,48,5
717930,Kandahar,6.866,575,Released,2023-05-25,3000000,119,False,/c6Splshb8lb2Q9OvUfhpqXl7uP0.jpg,0,https://www.openroadfilms.com/movies/kandahar,tt5761544,en,Kandahar,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",0.23662375595161164,/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg,The only thing more dangerous than the mission is the escape.,"Action, Thriller","Thunder Road, G-BASE, MBC Studios, Capstone Pictures","United Arab Emirates, United States of America",English,"cia, undercover agent, behind enemy lines",18,1,48,5
744278,Mondocane,6.43,115,Released,2021-09-03,0,117,False,/uAAAzo9efEZJJPtj4iNwFvrRaki.jpg,0,,tt13113298,it,Mondocane,"In the near future, the southern Italian city of Taranto is surrounded by barbed wire that no one, not even the police, dares to cross. The poorest are left fighting for survival, while gangs compete for the territory. Two thirteen-year-old orphans who grew up together, dream of joining one of the gangs.",0.2140623178866114,/gOuJBz9u1YVWwvx12lJX56yUT6I.jpg,,"Action, Crime, Science Fiction, Drama","Groenlandia, RAI",Italy,Italian,"gang leader, survival, gang, criminal gang, poor",108,3,48,5
